"linter","tags"
"abbreviate_signature_linter","signature"
"abs_signature_linter","signature"
"acos_signature_linter","signature"
"acosh_signature_linter","signature"
"activeBindingFunction_signature_linter","signature"
"addNA_signature_linter","signature"
"addTaskCallback_signature_linter","signature"
"agrep_signature_linter","signature"
"agrepl_signature_linter","signature"
"all_names_signature_linter","signature"
"all_vars_signature_linter","signature"
"allowInterrupts_signature_linter","signature"
"anyNA_signature_linter","signature"
"anyNA_data_frame_signature_linter","signature"
"anyNA_numeric_version_signature_linter","signature"
"anyNA_POSIXlt_signature_linter","signature"
"append_signature_linter","signature"
"Arg_signature_linter","signature"
"args_signature_linter","signature"
"array_signature_linter","signature"
"arrayInd_signature_linter","signature"
"as_call_signature_linter","signature"
"as_difftime_signature_linter","signature"
"as_environment_signature_linter","signature"
"as_factor_signature_linter","signature"
"as_hexmode_signature_linter","signature"
"as_name_signature_linter","signature"
"as_numeric_version_signature_linter","signature"
"as_octmode_signature_linter","signature"
"as_ordered_signature_linter","signature"
"as_package_version_signature_linter","signature"
"as_pairlist_signature_linter","signature"
"as_qr_signature_linter","signature"
"as_raw_signature_linter","signature"
"as_symbol_signature_linter","signature"
"as_vector_signature_linter","signature"
"as_vector_data_frame_signature_linter","signature"
"as_vector_factor_signature_linter","signature"
"as_vector_POSIXlt_signature_linter","signature"
"asin_signature_linter","signature"
"asinh_signature_linter","signature"
"asNamespace_signature_linter","signature"
"asplit_signature_linter","signature"
"assign_signature_linter","signature"
"atan_signature_linter","signature"
"atanh_signature_linter","signature"
"attach_signature_linter","signature"
"attachNamespace_signature_linter","signature"
"attr_signature_linter","signature"
"attributes_signature_linter","signature"
"backsolve_signature_linter","signature"
"balancePOSIXlt_signature_linter","signature"
"basename_signature_linter","signature"
"besselI_signature_linter","signature"
"besselJ_signature_linter","signature"
"besselK_signature_linter","signature"
"besselY_signature_linter","signature"
"beta_signature_linter","signature"
"bindingIsActive_signature_linter","signature"
"bindingIsLocked_signature_linter","signature"
"bindtextdomain_signature_linter","signature"
"bitwAnd_signature_linter","signature"
"bitwNot_signature_linter","signature"
"bitwOr_signature_linter","signature"
"bitwShiftL_signature_linter","signature"
"bitwShiftR_signature_linter","signature"
"bitwXor_signature_linter","signature"
"body_signature_linter","signature"
"bquote_signature_linter","signature"
"browser_signature_linter","signature"
"browserCondition_signature_linter","signature"
"browserSetDebug_signature_linter","signature"
"browserText_signature_linter","signature"
"builtins_signature_linter","signature"
"bzfile_signature_linter","signature"
"callCC_signature_linter","signature"
"capabilities_signature_linter","signature"
"casefold_signature_linter","signature"
"ceiling_signature_linter","signature"
"char_expand_signature_linter","signature"
"character_signature_linter","signature"
"charmatch_signature_linter","signature"
"charToRaw_signature_linter","signature"
"chartr_signature_linter","signature"
"choose_signature_linter","signature"
"chooseOpsMethod_signature_linter","signature"
"chooseOpsMethod_default_signature_linter","signature"
"class_signature_linter","signature"
"clearPushBack_signature_linter","signature"
"col_signature_linter","signature"
"colMeans_signature_linter","signature"
"colnames_signature_linter","signature"
"colSums_signature_linter","signature"
"commandArgs_signature_linter","signature"
"comment_signature_linter","signature"
"complex_signature_linter","signature"
"computeRestarts_signature_linter","signature"
"conditionCall_signature_linter","signature"
"conditionCall_condition_signature_linter","signature"
"conditionMessage_signature_linter","signature"
"conditionMessage_condition_signature_linter","signature"
"conflictRules_signature_linter","signature"
"conflicts_signature_linter","signature"
"Conj_signature_linter","signature"
"cos_signature_linter","signature"
"cosh_signature_linter","signature"
"cospi_signature_linter","signature"
"cummax_signature_linter","signature"
"cummin_signature_linter","signature"
"cumprod_signature_linter","signature"
"cumsum_signature_linter","signature"
"curlGetHeaders_signature_linter","signature"
"data_class_signature_linter","signature"
"data_matrix_signature_linter","signature"
"debug_signature_linter","signature"
"debuggingState_signature_linter","signature"
"debugonce_signature_linter","signature"
"delayedAssign_signature_linter","signature"
"deparse_signature_linter","signature"
"detach_signature_linter","signature"
"dget_signature_linter","signature"
"diag_signature_linter","signature"
"difftime_signature_linter","signature"
"digamma_signature_linter","signature"
"dim_signature_linter","signature"
"dim_data_frame_signature_linter","signature"
"dimnames_signature_linter","signature"
"dimnames_data_frame_signature_linter","signature"
"dir_signature_linter","signature"
"dir_create_signature_linter","signature"
"dir_exists_signature_linter","signature"
"dirname_signature_linter","signature"
"do_call_signature_linter","signature"
"dontCheck_signature_linter","signature"
"double_signature_linter","signature"
"dput_signature_linter","signature"
"dQuote_signature_linter","signature"
"drop_signature_linter","signature"
"dump_signature_linter","signature"
"dyn_unload_signature_linter","signature"
"dynGet_signature_linter","signature"
"eigen_signature_linter","signature"
"encodeString_signature_linter","signature"
"Encoding_signature_linter","signature"
"endsWith_signature_linter","signature"
"enquote_signature_linter","signature"
"env_profile_signature_linter","signature"
"environment_signature_linter","signature"
"environmentIsLocked_signature_linter","signature"
"environmentName_signature_linter","signature"
"eval_signature_linter","signature"
"eval_parent_signature_linter","signature"
"evalq_signature_linter","signature"
"Exec_signature_linter","signature"
"exists_signature_linter","signature"
"exp_signature_linter","signature"
"factor_signature_linter","signature"
"factorial_signature_linter","signature"
"fifo_signature_linter","signature"
"file_signature_linter","signature"
"file_access_signature_linter","signature"
"file_append_signature_linter","signature"
"file_choose_signature_linter","signature"
"file_copy_signature_linter","signature"
"file_link_signature_linter","signature"
"file_rename_signature_linter","signature"
"file_symlink_signature_linter","signature"
"Filter_signature_linter","signature"
"Find_signature_linter","signature"
"find_package_signature_linter","signature"
"findInterval_signature_linter","signature"
"findPackageEnv_signature_linter","signature"
"findRestart_signature_linter","signature"
"floor_signature_linter","signature"
"flush_signature_linter","signature"
"flush_connection_signature_linter","signature"
"force_signature_linter","signature"
"formals_signature_linter","signature"
"format_info_signature_linter","signature"
"formatC_signature_linter","signature"
"formatDL_signature_linter","signature"
"forwardsolve_signature_linter","signature"
"gamma_signature_linter","signature"
"gc_signature_linter","signature"
"gc_time_signature_linter","signature"
"gcinfo_signature_linter","signature"
"gctorture_signature_linter","signature"
"get_signature_linter","signature"
"getCallingDLL_signature_linter","signature"
"getCallingDLLe_signature_linter","signature"
"getConnection_signature_linter","signature"
"getDLLRegisteredRoutines_signature_linter","signature"
"getDLLRegisteredRoutines_character_signature_linter","signature"
"getDLLRegisteredRoutines_DLLInfo_signature_linter","signature"
"getElement_signature_linter","signature"
"getExportedValue_signature_linter","signature"
"getNamespace_signature_linter","signature"
"getNamespaceExports_signature_linter","signature"
"getNamespaceImports_signature_linter","signature"
"getNamespaceInfo_signature_linter","signature"
"getNamespaceName_signature_linter","signature"
"getNamespaceUsers_signature_linter","signature"
"getNamespaceVersion_signature_linter","signature"
"getNativeSymbolInfo_signature_linter","signature"
"getOption_signature_linter","signature"
"getSrcLines_signature_linter","signature"
"gl_signature_linter","signature"
"gregexec_signature_linter","signature"
"gregexpr_signature_linter","signature"
"grep_signature_linter","signature"
"grepl_signature_linter","signature"
"grepRaw_signature_linter","signature"
"grepv_signature_linter","signature"
"gsub_signature_linter","signature"
"gzcon_signature_linter","signature"
"gzfile_signature_linter","signature"
"I_signature_linter","signature"
"iconv_signature_linter","signature"
"icuGetCollate_signature_linter","signature"
"identical_signature_linter","signature"
"identity_signature_linter","signature"
"ifelse_signature_linter","signature"
"Im_signature_linter","signature"
"importIntoEnv_signature_linter","signature"
"infoRDS_signature_linter","signature"
"inherits_signature_linter","signature"
"integer_signature_linter","signature"
"intersect_signature_linter","signature"
"intToBits_signature_linter","signature"
"invisible_signature_linter","signature"
"invokeRestartInteractively_signature_linter","signature"
"is_array_signature_linter","signature"
"is_atomic_signature_linter","signature"
"is_call_signature_linter","signature"
"is_character_signature_linter","signature"
"is_complex_signature_linter","signature"
"is_data_frame_signature_linter","signature"
"is_double_signature_linter","signature"
"is_element_signature_linter","signature"
"is_environment_signature_linter","signature"
"is_expression_signature_linter","signature"
"is_factor_signature_linter","signature"
"is_finite_signature_linter","signature"
"is_finite_POSIXlt_signature_linter","signature"
"is_function_signature_linter","signature"
"is_infinite_signature_linter","signature"
"is_infinite_POSIXlt_signature_linter","signature"
"is_integer_signature_linter","signature"
"is_language_signature_linter","signature"
"is_list_signature_linter","signature"
"is_loaded_signature_linter","signature"
"is_logical_signature_linter","signature"
"is_matrix_signature_linter","signature"
"is_na_signature_linter","signature"
"is_na_data_frame_signature_linter","signature"
"is_na_numeric_version_signature_linter","signature"
"is_na_POSIXlt_signature_linter","signature"
"is_name_signature_linter","signature"
"is_nan_signature_linter","signature"
"is_nan_POSIXlt_signature_linter","signature"
"is_null_signature_linter","signature"
"is_numeric_signature_linter","signature"
"is_numeric_version_signature_linter","signature"
"is_numeric_Date_signature_linter","signature"
"is_numeric_difftime_signature_linter","signature"
"is_numeric_POSIXt_signature_linter","signature"
"is_object_signature_linter","signature"
"is_ordered_signature_linter","signature"
"is_package_version_signature_linter","signature"
"is_pairlist_signature_linter","signature"
"is_primitive_signature_linter","signature"
"is_qr_signature_linter","signature"
"is_raw_signature_linter","signature"
"is_recursive_signature_linter","signature"
"is_single_signature_linter","signature"
"is_symbol_signature_linter","signature"
"is_table_signature_linter","signature"
"is_unsorted_signature_linter","signature"
"is_vector_signature_linter","signature"
"isa_signature_linter","signature"
"isatty_signature_linter","signature"
"isBaseNamespace_signature_linter","signature"
"isdebugged_signature_linter","signature"
"isFALSE_signature_linter","signature"
"isIncomplete_signature_linter","signature"
"isNamespace_signature_linter","signature"
"isNamespaceLoaded_signature_linter","signature"
"ISOdate_signature_linter","signature"
"ISOdatetime_signature_linter","signature"
"isOpen_signature_linter","signature"
"isRestart_signature_linter","signature"
"isSeekable_signature_linter","signature"
"isTRUE_signature_linter","signature"
"jitter_signature_linter","signature"
"La_svd_signature_linter","signature"
"lazyLoad_signature_linter","signature"
"lazyLoadDBexec_signature_linter","signature"
"lazyLoadDBfetch_signature_linter","signature"
"lbeta_signature_linter","signature"
"lchoose_signature_linter","signature"
"length_signature_linter","signature"
"length_POSIXlt_signature_linter","signature"
"lengths_signature_linter","signature"
"levels_signature_linter","signature"
"levels_default_signature_linter","signature"
"lfactorial_signature_linter","signature"
